artist,comment,level,lr2_bmsid,md5,name_diff,title,url,url_diff,player,clear_player,theoretical_score,top_score,average_score,std_dev_score,optimized_p,bpi_scores
Urban Techno Cafe arrange by RYO1,"原曲作者ページの有効Archive無し
( http://web.archive.org/web/20001109141500/http://www7.tok2.com/home/otafukun/bms.htm )",7,1702,2f2a6e1e63fc87424e938db2d274a29f,http://nekokan.dyndns.info/~lobsak/hokan/,orbit （瑠野亜's edition） [MANIAC],http://skydrive.live.com/?cid=fc95a680740ca8c9&id=FC95A680740CA8C9%21111,http://nekokan.dyndns.info/~lobsak/hokan/,7431,1000,3768,3743,3477.518,97.4765,0.5,"[3733.35, 3721.63, 3709.43, 3697.37, 3686.02, 3675.93, 3667.56, 3661.3, 3657.43]"
ねこかぶりサイクロン(xi+ねこみりん) feat.えみゅう。 obj:K-SPIN+Lapis,★9?http://lapisbms.web.fc2.com/http://absolute.pv.land.to/bof/upload.htmlBOF系up1001.zip,9,221886,2f5fc9140ade63e7f5f74d427567dac2,http://kspinbms.web.fc2.com/insane.html,After Burner [Departure],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=430&event=104,http://kspinbms.web.fc2.com/insane.html,5074,999,5244,5221,4915.4745,118.3843,0.5,"[5210.47, 5197.91, 5184.65, 5171.4, 5158.84, 5147.6, 5138.24, 5131.22, 5126.87]"
Luxion,同梱譜面,2,139809,3004d49607ce6fe08e572169a7bd61c2,,High-Priestess [HYPER],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=159&event=83,,11160,1000,3524,3501,3274.212,72.7667,0.5,"[3491.75, 3480.86, 3469.54, 3458.33, 3447.79, 3438.42, 3430.65, 3424.84, 3421.24]"
P4koo/obj_jakko Visual : HAEGOE,obj_jakko 差分一覧 http://joka193.blog.fc2.com/blog-category-0.html,3,162660,3083bf3ed23942c307172ef8a7553707,http://www.dropbox.com/s/803jlxt8fvp3gr1/8planet7A%2B.lzh,8th:Planet [SP ANOTHER+],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=17&event=85,http://www.dropbox.com/s/803jlxt8fvp3gr1/8planet7A%2B.lzh,8577,1000,3294,3293,3169.406,52.8084,0.5,"[3293.21, 3289.51, 3282.44, 3272.57, 3261.01, 3249.11, 3238.2, 3229.47, 3223.84]"
t+pazolite,原曲：U.N.オーエンは彼女なのか？(東方紅魔郷)（差分同梱）,22,1805,30a5cc8b0bfdc784f19fa42155917b6c,http://nekokan.dyndns.info/~lobsak/hokan/,"Little ""Sister"" Bitch",http://bit.ly/eoD0dZ,http://nekokan.dyndns.info/~lobsak/hokan/,4225,871,5748,5613,4909.9334,214.0594,0.5538498717943859,"[5658.63, 5644.53, 5630.64, 5617.31, 5604.91, 5593.8, 5584.33, 5576.87, 5571.82]"
Chitose / obj:緒方智絵里 vs 秘密 (Movie:zue-row),差分 右クリックで保存BAECON差分難易度表 http://akred.web.fc2.com/baecon.html,13,175431,315937f4d737a86d4f9d9be2f696fdee,http://akred.web.fc2.com/baecon/CLOCKTOWER_7BigBen.bms,CLOCKTOWER (Big Ben),http://manbow.nothing.sh/event/event.cgi?action=More_def&num=25&event=88,http://akred.web.fc2.com/baecon/CLOCKTOWER_7BigBen.bms,4378,999,4548,4514,4239.0811,102.3517,0.5,"[4506.27, 4494.59, 4482.72, 4471.19, 4460.49, 4451.07, 4443.31, 4437.54, 4433.99]"
fether,,9,1742,32197897cf8ad00f7765b0a52a14b2a8,,"ピアノ協奏曲第１番""蠍火""（なんでも吸い込むピンク色のための）",http://dl.dropbox.com/s/yboez1yj4lrw350/fz.html,,11852,990,4732,4679,4360.0939,89.3429,0.5,"[4677.92, 4665.96, 4654.11, 4642.83, 4632.52, 4623.55, 4616.23, 4610.81, 4607.48]"
NEKI←T,汎用 up0683.rarGENOSIDE段位認定 発狂十段 1曲目,21,52576,323e391cb09c023da7fe439d12bc6def,http://absolute.pv.land.to/bmsuploader.html,GaRaKuTic Dream (garbage),http://nekokan.dyndns.info/~anonymous/bms/est/,http://absolute.pv.land.to/uploader/src/up0683.rar,4244,946,4514,4499,4078.8763,160.4191,0.5,"[4487.3, 4473.0, 4457.0, 4440.33, 4424.06, 4409.19, 4396.62, 4387.07, 4381.12]"
fether / obj: black train,,1,37,3284c41bf372f18adcd1da097aa7e342,http://absolute.pv.land.to/,☆ twinklesky ☆ _12 虎のANOTHER,http://dl.dropbox.com/s/yboez1yj4lrw350/fz.html,http://absolute.pv.land.to/,17781,999,3844,3828,3587.6967,77.5394,0.5,"[3818.34, 3807.1, 3794.96, 3782.61, 3770.76, 3760.06, 3751.09, 3744.33, 3740.13]"
Wirel : Yourl (BGA : RED) (obj.mp),BGA : http://www.redsight.net/,6,1686,32f22137537102f89ba8e689fa349de8,http://ibizatrance.nomaki.jp/index.html,The Beautiful Sunset of That Day(Radio Edit) -ANOTHER-,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=2&event=13,http://ibizatrance.nomaki.jp/index.html,8818,1000,3416,3389,3103.182,88.6349,0.5,"[3379.36, 3367.26, 3354.71, 3342.32, 3330.68, 3320.35, 3311.79, 3305.39, 3301.44]"
